family,model,params_b,dataset,construct,decis_mu,fit_r2,p_self,p_reversal,p_acyclic,p_crossq
Gemma,gemma-3-1b,1.0,leetcode,applicant,0.20265964146453275,0.053621404203809134,0.9709693888732136,0.11994727345048925,0.9636554012955553,0.49237256705941074
Gemma,gemma-3-4b,4.0,leetcode,applicant,0.2040996974778514,0.055941974051209604,0.9829168530099036,0.14853203867559694,0.9124056812532614,0.5199476721316698
Gemma,gemma-3-12b,12.0,leetcode,applicant,0.5197058119144397,0.3136660903107366,0.9686363010195674,0.4846928103742677,0.9593596301855289,0.596629448043711
Gemma,gemma-3-27b,27.0,leetcode,applicant,0.42929410597277046,0.20417049473938248,0.981561175897063,0.37386579464149405,0.9446949936443142,0.5320111964048835
Gemma,gemma-3-1b,1.0,leetcode,harder,0.13764395764186,0.020362719704559842,0.9928509137180579,0.030510865180417547,0.955431147063588,0.47737750854444666
Gemma,gemma-3-4b,4.0,leetcode,harder,0.4828300025627137,0.29342535172308376,0.9250042010116303,0.49473416525583824,0.888377003302268,0.5421173631657615
Gemma,gemma-3-12b,12.0,leetcode,harder,0.7141575067972127,0.5387530940834517,0.980502632007193,0.6945943752467569,0.954881482289073,0.6708414503741769
Gemma,gemma-3-27b,27.0,leetcode,harder,0.8981016169947701,0.8485047574038341,0.985266613709719,0.88736130292962,0.9017104679081102,0.7136208600176961
Gemma,gemma-3-1b,1.0,leetcode,interesting,0.21613603412797686,0.05917569715340049,0.9405242276561052,0.31642593404473224,0.8740867392360578,0.47562033095450335
Gemma,gemma-3-4b,4.0,leetcode,interesting,0.42587604761556824,0.2220531436708643,0.9510528447192558,0.46296746579015136,0.8996060253418781,0.47776540684979335
Gemma,gemma-3-12b,12.0,leetcode,interesting,0.5821372240409577,0.39938939228120707,0.9537691631015506,0.5444534318537302,0.9457550228797567,0.5705216673850227
Gemma,gemma-3-27b,27.0,leetcode,interesting,0.8461471879345877,0.7652599532584714,0.9791902237723205,0.8469810477258625,0.8886346207189038,0.5289849729741264
Gemma,gemma-3-1b,1.0,recipes,applicant,0.2692307432379344,0.08062591520761456,0.9813856663518927,0.2102017868561207,0.962194028030711,0.49977315796740174
Gemma,gemma-3-4b,4.0,recipes,applicant,0.6619164001389554,0.4778728283210597,0.9667923347679921,0.6913380159738586,0.9005273062990236,0.5726501419806791
Gemma,gemma-3-12b,12.0,recipes,applicant,0.7307468980682028,0.5505004480259115,0.9898746242563922,0.7067446357914988,0.9715315525158632,0.6135442688207615
Gemma,gemma-3-27b,27.0,recipes,applicant,0.7077577396178079,0.5274531449233912,0.9937705967059258,0.6737944474354646,0.9702029251655536,0.6745957847447392
Gemma,gemma-3-1b,1.0,recipes,harder,0.48140638782749107,0.2771919820628403,0.933833773367468,0.5161994048554288,0.8323356670451192,0.46706904487573675
Gemma,gemma-3-4b,4.0,recipes,harder,0.5893267529974477,0.3923602927068102,0.9585528068951862,0.6618607482976161,0.8687723203226134,0.6352774666538794
Gemma,gemma-3-12b,12.0,recipes,harder,0.7661337760683062,0.6221704682164254,0.9811132447060015,0.7406138449932623,0.9499580661464304,0.7137916925265051
Gemma,gemma-3-27b,27.0,recipes,harder,0.7984804083285253,0.654991057175874,0.9878463867829539,0.7810578196104393,0.957094152027799,0.7724428493033002
Gemma,gemma-3-1b,1.0,recipes,interesting,0.5116727774983464,0.29649822451378277,0.9572517158996533,0.4562916434027477,0.9259689166170643,0.5900286581114494
Gemma,gemma-3-4b,4.0,recipes,interesting,0.4758018452084034,0.23417907227868912,0.9809728924009126,0.4462105037315042,0.9261174857208824,0.5201595253539062
Gemma,gemma-3-12b,12.0,recipes,interesting,0.7855927464637213,0.649893357962798,0.9815690728568546,0.8336687470940289,0.8990761302090793,0.6023530576825598
Gemma,gemma-3-27b,27.0,recipes,interesting,0.8321919798998153,0.7311188579336972,0.9925512980461986,0.8352998277380516,0.9433199747552372,0.66805443849262
