model,decisiveness_point,decisiveness_meas_lo,decisiveness_meas_hi,decisiveness_gen_lo,decisiveness_gen_hi,decisiveness_raw_point,decisiveness_raw_meas_lo,decisiveness_raw_meas_hi,decisiveness_raw_gen_lo,decisiveness_raw_gen_hi,unidim_fit_brier_point,unidim_fit_brier_meas_lo,unidim_fit_brier_meas_hi,unidim_fit_brier_gen_lo,unidim_fit_brier_gen_hi,unidim_fit_log_loss_point,unidim_fit_log_loss_meas_lo,unidim_fit_log_loss_meas_hi,unidim_fit_log_loss_gen_lo,unidim_fit_log_loss_gen_hi,transitivity_fas_point,transitivity_fas_meas_lo,transitivity_fas_meas_hi,transitivity_fas_gen_lo,transitivity_fas_gen_hi,transitivity_triad_point,transitivity_triad_meas_lo,transitivity_triad_meas_hi,transitivity_triad_gen_lo,transitivity_triad_gen_hi,order_consistency_point,order_consistency_meas_lo,order_consistency_meas_hi,order_consistency_gen_lo,order_consistency_gen_hi,q_agreement_point,q_agreement_meas_lo,q_agreement_meas_hi,q_agreement_gen_lo,q_agreement_gen_hi,mu_std_diagnostic_point,mu_std_diagnostic_meas_lo,mu_std_diagnostic_meas_hi,mu_std_diagnostic_gen_lo,mu_std_diagnostic_gen_hi
animal_welfare,0.35919427059974723,nan,nan,nan,nan,0.44338514215521513,nan,nan,nan,nan,0.02067817648451673,nan,nan,nan,nan,0.5970075483790637,nan,nan,nan,nan,0.9166308960761156,nan,nan,nan,nan,0.7965054112358285,nan,nan,nan,nan,0.8177387000881136,nan,nan,nan,nan,0.7216977038117777,nan,nan,nan,nan,0.6387062499954529,nan,nan,nan,nan
anti_ai_regulation,0.3726430913182159,nan,nan,nan,nan,0.6277289641261101,nan,nan,nan,nan,0.07308163651354867,nan,nan,nan,nan,0.6011017147913346,nan,nan,nan,nan,0.7868644882713585,nan,nan,nan,nan,0.8489564837178096,nan,nan,nan,nan,0.5897795423716307,nan,nan,nan,nan,0.6347536897932997,nan,nan,nan,nan,0.692526714481621,nan,nan,nan,nan
base,0.7605675786433468,nan,nan,nan,nan,0.9311176776964265,nan,nan,nan,nan,0.07217078334665422,nan,nan,nan,nan,0.30536187893299127,nan,nan,nan,nan,0.8992296443462369,nan,nan,nan,nan,0.9188393738026439,nan,nan,nan,nan,0.7520819046725755,nan,nan,nan,nan,0.7573500611472285,nan,nan,nan,nan,2.7482646997832623,nan,nan,nan,nan
