model,prompt_format,quant,decisiveness,decisiveness_raw,transitivity_fas,transitivity_triad,order_consistency,q_agreement,q_agreement_absdiff,q_sign_agreement,unidim_fit_log_loss,unidim_fit_brier,mu_std_diagnostic
qwen2.5-32b-base,raw,nf4-4bit,0.2802,0.3684,0.8743,0.783,0.7818,0.3581,0.8297,0.6055,0.6371,0.0218,0.4694
qwen2.5-32b-instruct,chatml,nf4-4bit,0.7717,0.8939,0.9234,0.9083,0.8113,0.609,0.7324,0.7262,0.2893,0.0536,2.8125
alamerton-12-mar-gen9-32b,raw,nf4-4bit,0.6553,0.7724,0.9264,0.8895,0.7538,0.6771,0.722,0.6476,0.3912,0.0414,1.6811
alamerton-12-mar-gen9-32b,chatml,nf4-4bit,0.6555,0.7742,0.9279,0.8847,0.7571,0.6239,0.6978,0.634,0.3884,0.0411,1.6826
