tokens_B,format,mu_valence_corr,decisiveness
1.0,raw,0.009,0.0369
3.0,raw,0.0105,0.1071
13.0,raw,-0.0562,0.071
51.0,raw,0.0175,0.0861
214.0,raw,0.0464,0.0533
911.0,raw,0.129,0.0441
3896.0,raw,0.0505,0.0752
3896.0,raw,0.0823,0.122
1,instruct_template,0.0269,0.0304
3,instruct_template,-0.0009,0.0312
13,instruct_template,0.0404,0.1226
51,instruct_template,-0.0147,0.1014
214,instruct_template,0.0796,0.07
911,instruct_template,0.3194,0.043
3896,instruct_template,0.1972,0.0645
